ID,Opcode,Opcode (Unformatted),Instruction,Size,Flags,Function
121,0x78,78,MOV A;B,1,,A &lt;- B
122,0x79,79,MOV A;C,1,,A &lt;- C
123,0x7a,7a,MOV A;D,1,,A &lt;- D
124,0x7b,7b,MOV A;E,1,,A &lt;- E
125,0x7c,7c,MOV A;H,1,,A &lt;- H
126,0x7d,7d,MOV A;L,1,,A &lt;- L
127,0x7e,7e,MOV A;M,1,,A &lt;- (HL)
128,0x7f,7f,MOV A;A,1,,A &lt;- A
129,0x80,80,ADD B,1,Z; S; P; CY; AC,A &lt;- A + B
130,0x81,81,ADD C,1,Z; S; P; CY; AC,A &lt;- A + C
131,0x82,82,ADD D,1,Z; S; P; CY; AC,A &lt;- A + D
132,0x83,83,ADD E,1,Z; S; P; CY; AC,A &lt;- A + E
133,0x84,84,ADD H,1,Z; S; P; CY; AC,A &lt;- A + H
134,0x85,85,ADD L,1,Z; S; P; CY; AC,A &lt;- A + L
135,0x86,86,ADD M,1,Z; S; P; CY; AC,A &lt;- A + (HL)
136,0x87,87,ADD A,1,Z; S; P; CY; AC,A &lt;- A + A
137,0x88,88,ADC B,1,Z; S; P; CY; AC,A &lt;- A + B + CY
138,0x89,89,ADC C,1,Z; S; P; CY; AC,A &lt;- A + C + CY
139,0x8a,8a,ADC D,1,Z; S; P; CY; AC,A &lt;- A + D + CY
140,0x8b,8b,ADC E,1,Z; S; P; CY; AC,A &lt;- A + E + CY
141,0x8c,8c,ADC H,1,Z; S; P; CY; AC,A &lt;- A + H + CY
142,0x8d,8d,ADC L,1,Z; S; P; CY; AC,A &lt;- A + L + CY
143,0x8e,8e,ADC M,1,Z; S; P; CY; AC,A &lt;- A + (HL) + CY
144,0x8f,8f,ADC A,1,Z; S; P; CY; AC,A &lt;- A + A + CY
145,0x90,90,SUB B,1,Z; S; P; CY; AC,A &lt;- A - B
146,0x91,91,SUB C,1,Z; S; P; CY; AC,A &lt;- A - C
147,0x92,92,SUB D,1,Z; S; P; CY; AC,A &lt;- A + D
148,0x93,93,SUB E,1,Z; S; P; CY; AC,A &lt;- A - E
149,0x94,94,SUB H,1,Z; S; P; CY; AC,A &lt;- A + H
150,0x95,95,SUB L,1,Z; S; P; CY; AC,A &lt;- A - L
151,0x96,96,SUB M,1,Z; S; P; CY; AC,A &lt;- A + (HL)
152,0x97,97,SUB A,1,Z; S; P; CY; AC,A &lt;- A - A
153,0x98,98,SBB B,1,Z; S; P; CY; AC,A &lt;- A - B - CY
154,0x99,99,SBB C,1,Z; S; P; CY; AC,A &lt;- A - C - CY
155,0x9a,9a,SBB D,1,Z; S; P; CY; AC,A &lt;- A - D - CY
156,0x9b,9b,SBB E,1,Z; S; P; CY; AC,A &lt;- A - E - CY
157,0x9c,9c,SBB H,1,Z; S; P; CY; AC,A &lt;- A - H - CY
158,0x9d,9d,SBB L,1,Z; S; P; CY; AC,A &lt;- A - L - CY
159,0x9e,9e,SBB M,1,Z; S; P; CY; AC,A &lt;- A - (HL) - CY
160,0x9f,9f,SBB A,1,Z; S; P; CY; AC,A &lt;- A - A - CY
161,0xa0,a0,ANA B,1,Z; S; P; CY; AC,A &lt;- A &amp; B
162,0xa1,a1,ANA C,1,Z; S; P; CY; AC,A &lt;- A &amp; C
163,0xa2,a2,ANA D,1,Z; S; P; CY; AC,A &lt;- A &amp; D
164,0xa3,a3,ANA E,1,Z; S; P; CY; AC,A &lt;- A &amp; E
165,0xa4,a4,ANA H,1,Z; S; P; CY; AC,A &lt;- A &amp; H
166,0xa5,a5,ANA L,1,Z; S; P; CY; AC,A &lt;- A &amp; L
167,0xa6,a6,ANA M,1,Z; S; P; CY; AC,A &lt;- A &amp; (HL)
168,0xa7,a7,ANA A,1,Z; S; P; CY; AC,A &lt;- A &amp; A
169,0xa8,a8,XRA B,1,Z; S; P; CY; AC,A &lt;- A ^ B
170,0xa9,a9,XRA C,1,Z; S; P; CY; AC,A &lt;- A ^ C
171,0xaa,aa,XRA D,1,Z; S; P; CY; AC,A &lt;- A ^ D
172,0xab,ab,XRA E,1,Z; S; P; CY; AC,A &lt;- A ^ E
173,0xac,ac,XRA H,1,Z; S; P; CY; AC,A &lt;- A ^ H
174,0xad,ad,XRA L,1,Z; S; P; CY; AC,A &lt;- A ^ L
